Name,ID,Has Item,Mod,Class,Display Name
minecraft:melon_block,103,true,minecraft,net.minecraft.block.BlockMelon,Melon
minecraft:pumpkin_stem,104,false,null,net.minecraft.block.BlockStem,null
minecraft:melon_stem,105,false,null,net.minecraft.block.BlockStem,null
minecraft:vine,106,true,minecraft,net.minecraft.block.BlockVine,Vines
minecraft:fence_gate,107,true,minecraft,net.malisis.doors.door.block.FenceGate,Oak Fence Gate
minecraft:brick_stairs,108,true,minecraft,net.minecraft.block.BlockStairs,Brick Stairs
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.block.BlockStairs,Stone Brick Stairs
minecraft:mycelium,110,true,minecraft,net.minecraft.block.BlockMycelium,Mycelium
minecraft:waterlily,111,true,minecraft,net.minecraft.block.BlockLilyPad,Lily Pad
minecraft:nether_brick,112,true,minecraft,net.minecraft.block.Block,Nether Bricks
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.block.BlockFence,Nether Brick Fence
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.block.BlockStairs,Nether Brick Stairs
minecraft:nether_wart,115,false,null,net.minecraft.block.BlockNetherWart,null
minecraft:enchanting_table,116,true,minecraft,net.minecraft.block.BlockEnchantmentTable,Enchantment Table
minecraft:brewing_stand,117,false,null,net.minecraft.block.BlockBrewingStand,null
minecraft:cauldron,118,false,null,net.minecraft.block.BlockCauldron,null
minecraft:end_portal,119,true,minecraft,net.minecraft.block.BlockEndPortal,End Portal
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.block.BlockEndPortalFrame,End Portal
minecraft:end_stone,121,true,minecraft,net.minecraft.block.Block,End Stone
minecraft:dragon_egg,122,true,minecraft,chylex.hee.block.BlockDragonEggCustom,Dragon Egg
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.block.BlockRedstoneLight,Redstone Lamp
minecraft:lit_redstone_lamp,124,false,null,net.minecraft.block.BlockRedstoneLight,null
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.block.BlockWoodSlab,Oak Slab
minecraft:wooden_slab,126,true,minecraft,net.minecraft.block.BlockWoodSlab,Oak Slab
minecraft:cocoa,127,true,minecraft,net.minecraft.block.BlockCocoa,Cocoa
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.block.BlockStairs,Sandstone Stairs
minecraft:emerald_ore,129,true,minecraft,net.minecraft.block.BlockOre,Emerald Ore
minecraft:ender_chest,130,true,minecraft,net.minecraft.block.BlockEnderChest,Personal Ender Chest
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.block.BlockTripWireHook,Tripwire Hook
minecraft:tripwire,132,false,null,net.minecraft.block.BlockTripWire,null
minecraft:emerald_block,133,true,minecraft,net.minecraft.block.BlockCompressed,Block of Emerald
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.block.BlockStairs,Spruce Stairs
minecraft:birch_stairs,135,true,minecraft,net.minecraft.block.BlockStairs,Birch Stairs
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.block.BlockStairs,Jungle Stairs
minecraft:command_block,137,true,minecraft,net.minecraft.block.BlockCommandBlock,Command Block
minecraft:beacon,138,true,minecraft,net.minecraft.block.BlockBeacon,Beacon
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.block.BlockWall,Cobblestone Wall
minecraft:flower_pot,140,false,null,net.minecraft.block.BlockFlowerPot,null
minecraft:carrots,141,true,minecraft,net.minecraft.block.BlockCarrot,Carrots
minecraft:potatoes,142,true,minecraft,net.minecraft.block.BlockPotato,Potatoes
minecraft:wooden_button,143,true,minecraft,net.minecraft.block.BlockButtonWood,Oak Button
minecraft:skull,144,false,null,net.minecraft.block.BlockSkull,null
minecraft:anvil,145,true,minecraft,net.minecraft.block.BlockAnvil,Anvil
minecraft:trapped_chest,146,true,minecraft,net.minecraft.block.BlockChest,Trapped Chest
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.block.BlockPressurePlateWeighted,Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.block.BlockPressurePlateWeighted,Weighted Pressure Plate (Heavy)
minecraft:unpowered_comparator,149,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:powered_comparator,150,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:daylight_detector,151,true,minecraft,net.minecraft.block.BlockDaylightDetector,Daylight Detector
minecraft:redstone_block,152,true,minecraft,net.minecraft.block.BlockCompressedPowered,Block of Redstone
minecraft:quartz_ore,153,true,minecraft,net.minecraft.block.BlockOre,Nether Quartz Ore
minecraft:hopper,154,true,minecraft,net.minecraft.block.BlockHopper,Hopper
minecraft:quartz_block,155,true,minecraft,net.minecraft.block.BlockQuartz,Block of Quartz
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.block.BlockStairs,Quartz Stairs
minecraft:activator_rail,157,true,minecraft,net.minecraft.block.BlockRailPowered,Activator Track
minecraft:dropper,158,true,minecraft,net.minecraft.block.BlockDropper,Dropper
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.block.BlockColored,White Terracotta
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.block.BlockStainedGlassPane,White Stained Glass Pane
minecraft:leaves2,161,true,minecraft,net.minecraft.block.BlockNewLeaf,Acacia Leaves
minecraft:log2,162,true,minecraft,net.minecraft.block.BlockNewLog,Acacia Log
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.block.BlockStairs,Acacia Stairs
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.block.BlockStairs,Dark Oak Stairs
IC2:blockOreCopper,165,true,IC2,ic2.core.block.BlockMetaData,Copper Ore
IC2:blockOreTin,166,true,IC2,ic2.core.block.BlockMetaData,Tin Ore
IC2:blockOreUran,167,true,IC2,ic2.core.block.BlockMetaData,Uranium Ore
IC2:blockOreLead,168,true,IC2,ic2.core.block.BlockMetaData,Lead Ore
IC2:blockRubWood,169,true,IC2,ic2.core.block.BlockRubWood,Rubber Wood
minecraft:hay_block,170,true,minecraft,net.minecraft.block.BlockHay,Hay Bale
minecraft:carpet,171,true,minecraft,net.minecraft.block.BlockCarpet,Carpet
minecraft:hardened_clay,172,true,minecraft,net.minecraft.block.BlockHardenedClay,Terracotta
minecraft:coal_block,173,true,minecraft,net.minecraft.block.Block,Block of Coal
minecraft:packed_ice,174,true,minecraft,net.minecraft.block.BlockPackedIce,Packed Ice
minecraft:double_plant,175,true,minecraft,net.minecraft.block.BlockDoublePlant,Sunflower
IC2:blockRubLeaves,176,true,IC2,ic2.core.block.BlockRubLeaves,Rubber Tree Leaves
IC2:blockRubSapling,177,true,IC2,ic2.core.block.BlockRubSapling,Rubber Tree Sapling
IC2:blockHarz,178,true,IC2,ic2.core.block.BlockResin,ic2.blockHarz
IC2:blockRubber,179,true,IC2,ic2.core.block.BlockRubberSheet,Rubber Sheet
IC2:blockFenceIron,180,true,IC2,ic2.core.block.BlockPoleFence,Iron Fence
IC2:blockAlloy,181,true,IC2,ic2.core.block.BlockMetaData,Reinforced Stone
IC2:blockBasalt,182,true,IC2,ic2.core.block.BlockMetaData,Basalt
IC2:blockAlloyGlass,183,true,IC2,ic2.core.block.BlockTexGlass,Reinforced Glass
IC2:blockDoorAlloy,184,true,IC2,ic2.core.block.BlockIC2Door,Reinforced Door
IC2:blockReinforcedFoam,185,true,IC2,ic2.core.block.BlockReinforcedFoam,Reinforced Construction Foam
IC2:blockFoam,186,true,IC2,ic2.core.block.BlockFoam,Construction Foam
IC2:blockWall,187,true,IC2,ic2.core.block.BlockWall,ic2.blockWall
IC2:blockScaffold,188,true,IC2,ic2.core.block.BlockScaffold,Scaffold
IC2:blockIronScaffold,189,true,IC2,ic2.core.block.BlockScaffold,Iron Scaffold
IC2:blockMetal,190,true,IC2,ic2.core.block.BlockMetal,Copper Block
IC2:blockCable,191,true,IC2,ic2.core.block.wiring.BlockCable,ic2.blockCable
IC2:blockKineticGenerator,192,true,IC2,ic2.core.block.kineticgenerator.block.BlockKineticGenerator,Kinetic Wind Generator
IC2:blockHeatGenerator,193,true,IC2,ic2.core.block.heatgenerator.block.BlockHeatGenerator,Solid Heat Generator
IC2:blockGenerator,194,true,IC2,ic2.core.block.generator.block.BlockGenerator,RTG POWARZ
IC2:blockReactorChamber,195,true,IC2,ic2.core.block.reactor.block.BlockReactorChamber,Reactor Chamber
IC2:blockReactorFluidPort,196,true,IC2,ic2.core.block.reactor.block.BlockReactorFluidPort,Reactor Fluid Port
IC2:blockReactorAccessHatch,197,true,IC2,ic2.core.block.reactor.block.BlockReactorAccessHatch,Reactor Access Hatch
IC2:blockReactorRedstonePort,198,true,IC2,ic2.core.block.reactor.block.BlockReactorRedstonePort,Reactor Redstone Port
IC2:blockreactorvessel,199,true,IC2,ic2.core.block.reactor.block.BlockReactorVessel,Reactor Pressure Vessel
IC2:blockElectric,200,true,IC2,ic2.core.block.wiring.BlockElectric,BatBox
IC2:blockChargepad,201,true,IC2,ic2.core.block.wiring.BlockChargepad,Charge Pad (BatBox)
IC2:blockMachine,202,true,IC2,ic2.core.block.machine.BlockMachine,Basic Machine Casing
IC2:blockMachine2,203,true,IC2,ic2.core.block.machine.BlockMachine2,Teleporter
IC2:blockMachine3,204,true,IC2,ic2.core.block.machine.BlockMachine3,Steam Generator
IC2:blockLuminatorDark,205,true,IC2,ic2.core.block.wiring.BlockLuminator,Luminator
IC2:blockLuminator,206,true,IC2,ic2.core.block.wiring.BlockLuminator,Luminator
IC2:blockMiningPipe,207,true,IC2,ic2.core.block.machine.BlockMiningPipe,Mining Pipe
IC2:blockMiningTip,208,true,IC2,ic2.core.block.machine.BlockMiningTip,Mining Pipe
IC2:blockPersonal,209,true,IC2,ic2.core.block.personal.BlockPersonal,Personal Safe
IC2:blockITNT,210,true,IC2,ic2.core.block.BlockITNT,Industrial TNT
IC2:blockNuke,211,true,IC2,ic2.core.block.BlockITNT,Nuke
IC2:blockDynamite,212,true,IC2,ic2.core.block.BlockDynamite,ic2.blockDynamite
IC2:blockDynamiteRemote,213,true,IC2,ic2.core.block.BlockDynamite,ic2.blockDynamiteRemote
IC2:blockCrop,214,true,IC2,ic2.core.crop.BlockCrop,Crop
IC2:blockBarrel,215,true,IC2,ic2.core.block.BlockBarrel,Barrel
IC2:fluidUuMatter,216,true,IC2,ic2.core.block.BlockIC2Fluid,UU-Matter
IC2:fluidConstructionFoam,217,true,IC2,ic2.core.block.BlockIC2Fluid,Construction Foam
IC2:fluidCoolant,218,true,IC2,ic2.core.block.BlockIC2Fluid,IC2 Coolant
IC2:fluidHotCoolant,219,true,IC2,ic2.core.block.BlockIC2Fluid,IC2 Hot Coolant
IC2:fluidPahoehoeLava,220,true,IC2,ic2.core.block.BlockIC2Fluid,Pahoehoe Lava
IC2:fluidBiomass,221,true,IC2,ic2.core.block.BlockIC2Fluid,Biomass
IC2:fluidBiogas,222,true,IC2,ic2.core.block.BlockIC2Fluid,Biogas
IC2:fluidDistilledWater,223,true,IC2,ic2.core.block.BlockIC2Fluid,Distilled Water
IC2:fluidSuperheatedSteam,224,true,IC2,ic2.core.block.BlockIC2Fluid,Superheated Steam
IC2:fluidSteam,225,true,IC2,ic2.core.block.BlockIC2Fluid,Steam
IC2:fluidHotWater,226,true,IC2,ic2.core.block.BlockIC2Fluid,Heated Water
AdvancedSolarPanel:BlockMolecularTransformer,227,true,AdvancedSolarPanel,advsolar.common.blocks.BlockMolecularTransformer,Molecular Transformer
AdvancedSolarPanel:BlockAdvSolarPanel,228,true,AdvancedSolarPanel,advsolar.common.blocks.BlockAdvSolarPanel,Advanced Solar Panel
adventurebackpack:blockBackpack,229,true,adventurebackpack,com.darkona.adventurebackpack.block.BlockAdventureBackpack,Adventure Backpacks
adventurebackpack:blockSleepingBag,230,true,adventurebackpack,com.darkona.adventurebackpack.block.BlockSleepingBag,Sleeping Bag
adventurebackpack:blockCampFire,231,true,adventurebackpack,com.darkona.adventurebackpack.block.BlockCampFire,CampFire
appliedenergistics2:tile.OreQuartz,232,true,appliedenergistics2,appeng.block.solids.OreQuartz,Certus Quartz Ore
appliedenergistics2:tile.OreQuartzCharged,233,true,appliedenergistics2,appeng.block.solids.OreQuartzCharged,Charged Certus Quartz Ore
appliedenergistics2:tile.BlockMatrixFrame,234,true,appliedenergistics2,appeng.block.spatial.BlockMatrixFrame,Matrix Frame
appliedenergistics2:tile.BlockQuartz,235,true,appliedenergistics2,appeng.block.solids.BlockQuartz,Certus Quartz Block
appliedenergistics2:tile.BlockQuartzPillar,236,true,appliedenergistics2,appeng.block.solids.BlockQuartzPillar,Certus Quartz Pillar
appliedenergistics2:tile.BlockQuartzChiseled,237,true,appliedenergistics2,appeng.block.solids.BlockQuartzChiseled,Chiseled Certus Quartz Block
appliedenergistics2:tile.BlockQuartzGlass,238,true,appliedenergistics2,appeng.block.solids.BlockQuartzGlass,Quartz Glass
appliedenergistics2:tile.BlockQuartzLamp,239,true,appliedenergistics2,appeng.block.solids.BlockQuartzLamp,Vibrant Quartz Glass
appliedenergistics2:tile.BlockQuartzTorch,240,true,appliedenergistics2,appeng.block.misc.BlockQuartzTorch,Charged Quartz Fixture
appliedenergistics2:tile.BlockFluix,241,true,appliedenergistics2,appeng.block.solids.BlockFluix,Fluix Block
appliedenergistics2:tile.BlockSkyStone,242,true,appliedenergistics2,appeng.block.solids.BlockSkyStone,Sky Stone
appliedenergistics2:tile.BlockSkyChest,243,true,appliedenergistics2,appeng.block.storage.BlockSkyChest,Sky Stone Chest
appliedenergistics2:tile.BlockSkyCompass,244,true,appliedenergistics2,appeng.block.misc.BlockSkyCompass,Meteorite Compass
appliedenergistics2:tile.BlockInscriber,245,true,appliedenergistics2,appeng.block.misc.BlockInscriber,Inscriber
appliedenergistics2:tile.BlockWireless,246,true,appliedenergistics2,appeng.block.networking.BlockWireless,ME Wireless Access Point
appliedenergistics2:tile.BlockCharger,247,true,appliedenergistics2,appeng.block.misc.BlockCharger,Charger
appliedenergistics2:tile.BlockTinyTNT,248,true,appliedenergistics2,appeng.block.misc.BlockTinyTNT,Tiny TNT
appliedenergistics2:tile.BlockSecurity,249,true,appliedenergistics2,appeng.block.misc.BlockSecurity,ME Security Terminal
appliedenergistics2:tile.BlockQuantumRing,250,true,appliedenergistics2,appeng.block.qnb.BlockQuantumRing,ME Quantum Ring
appliedenergistics2:tile.BlockQuantumLinkChamber,251,true,appliedenergistics2,appeng.block.qnb.BlockQuantumLinkChamber,ME Quantum Link Chamber
appliedenergistics2:tile.BlockSpatialPylon,252,true,appliedenergistics2,appeng.block.spatial.BlockSpatialPylon,Spatial Pylon
appliedenergistics2:tile.BlockSpatialIOPort,253,true,appliedenergistics2,appeng.block.spatial.BlockSpatialIOPort,Spatial IO Port
appliedenergistics2:tile.BlockCableBus,254,true,appliedenergistics2,appeng.block.networking.BlockCableBus,AE2 Cable and/or Bus
appliedenergistics2:tile.BlockController,255,true,appliedenergistics2,appeng.block.networking.BlockController,ME Controller
appliedenergistics2:tile.BlockCreativeEnergyController,409,true,appliedenergistics2,appeng.block.networking.BlockCreativeEnergyController,Neutronium-Infused ME Controller
appliedenergistics2:tile.BlockDrive,410,true,appliedenergistics2,appeng.block.storage.BlockDrive,ME Drive
appliedenergistics2:tile.BlockChest,411,true,appliedenergistics2,appeng.block.storage.BlockChest,ME Chest
appliedenergistics2:tile.BlockInterface,412,true,appliedenergistics2,appeng.block.misc.BlockInterface,ME Interface
appliedenergistics2:tile.BlockCellWorkbench,413,true,appliedenergistics2,appeng.block.misc.BlockCellWorkbench,Cell Workbench
appliedenergistics2:tile.BlockIOPort,414,true,appliedenergistics2,appeng.block.storage.BlockIOPort,ME IO Port
appliedenergistics2:tile.BlockCondenser,415,true,appliedenergistics2,appeng.block.misc.BlockCondenser,Matter Condenser
appliedenergistics2:tile.BlockEnergyAcceptor,416,true,appliedenergistics2,appeng.block.networking.BlockEnergyAcceptor,Energy Acceptor
appliedenergistics2:tile.BlockVibrationChamber,423,true,appliedenergistics2,appeng.block.misc.BlockVibrationChamber,Vibration Chamber
appliedenergistics2:tile.BlockQuartzGrowthAccelerator,424,true,appliedenergistics2,appeng.block.misc.BlockQuartzGrowthAccelerator,Crystal Growth Accelerator
appliedenergistics2:tile.BlockEnergyCell,425,true,appliedenergistics2,appeng.block.networking.BlockEnergyCell,Energy Cell
appliedenergistics2:tile.BlockDenseEnergyCell,426,true,appliedenergistics2,appeng.block.networking.BlockDenseEnergyCell,Dense Energy Cell
appliedenergistics2:tile.BlockCreativeEnergyCell,427,true,appliedenergistics2,appeng.block.networking.BlockCreativeEnergyCell,Neutronium Energy Cell
appliedenergistics2:tile.BlockCraftingUnit,428,true,appliedenergistics2,appeng.block.crafting.BlockCraftingUnit,Crafting Unit
appliedenergistics2:tile.BlockAdvancedCraftingUnit,429,true,appliedenergistics2,appeng.block.crafting.BlockAdvancedCraftingUnit,64 Core Co-Processing Unit
appliedenergistics2:tile.BlockCraftingStorage,430,true,appliedenergistics2,appeng.block.crafting.BlockCraftingStorage,1k Crafting Storage
appliedenergistics2:tile.BlockAdvancedCraftingStorage,431,true,appliedenergistics2,appeng.block.crafting.BlockAdvancedCraftingStorage,256k Crafting Storage
appliedenergistics2:tile.BlockSingularityCraftingStorage,432,true,appliedenergistics2,appeng.block.crafting.BlockSingularityCraftingStorage,Singularity Crafting Storage
appliedenergistics2:tile.BlockCraftingMonitor,433,true,appliedenergistics2,appeng.block.crafting.BlockCraftingMonitor,Crafting Monitor
appliedenergistics2:tile.BlockMolecularAssembler,434,true,appliedenergistics2,appeng.block.crafting.BlockMolecularAssembler,Molecular Assembler
appliedenergistics2:tile.BlockLightDetector,435,true,appliedenergistics2,appeng.block.misc.BlockLightDetector,Light Detecting Fixture
appliedenergistics2:tile.BlockPaint,436,true,appliedenergistics2,appeng.block.misc.BlockPaint,Paint
appliedenergistics2:tile.BlockPatternOptimizationMatrix,437,true,appliedenergistics2,appeng.block.misc.BlockPatternOptimizationMatrix,Pattern Optimization Matrix
appliedenergistics2:tile.SkyStoneStairBlock,438,true,appliedenergistics2,appeng.block.stair.SkyStoneStairBlock,Sky Stone Stairs
appliedenergistics2:tile.SkyStoneBlockStairBlock,439,true,appliedenergistics2,appeng.block.stair.SkyStoneBlockStairBlock,Sky Stone Block Stairs
appliedenergistics2:tile.SkyStoneBrickStairBlock,440,true,appliedenergistics2,appeng.block.stair.SkyStoneBrickStairBlock,Sky Stone Brick Stairs
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock,441,true,appliedenergistics2,appeng.block.stair.SkyStoneSmallBrickStairBlock,Sky Stone Small Brick Stairs
appliedenergistics2:tile.FluixStairBlock,442,true,appliedenergistics2,appeng.block.stair.FluixStairBlock,Fluix Stairs
appliedenergistics2:tile.QuartzStairBlock,443,true,appliedenergistics2,appeng.block.stair.QuartzStairBlock,Certus Quartz Stairs
appliedenergistics2:tile.ChiseledQuartzStairBlock,444,true,appliedenergistics2,appeng.block.stair.ChiseledQuartzStairBlock,Chiseled Certus Quartz Stairs
appliedenergistics2:tile.QuartzPillarStairBlock,445,true,appliedenergistics2,appeng.block.stair.QuartzPillarStairBlock,Certus Quartz Pillar Stairs
