Name,ID,Has Block,Mod,Class,Display Name
minecraft:golden_rail,27,true,minecraft,net.minecraft.item.ItemBlock,Booster Track
minecraft:detector_rail,28,true,minecraft,net.minecraft.item.ItemBlock,Detector Track
minecraft:sticky_piston,29,true,minecraft,net.minecraft.item.ItemPiston,Sticky Piston
minecraft:web,30,true,minecraft,net.minecraft.item.ItemBlock,Cobweb
minecraft:tallgrass,31,true,minecraft,net.minecraft.item.ItemColored,Shrub
minecraft:deadbush,32,true,minecraft,net.minecraft.item.ItemBlock,Dead Bush
minecraft:piston,33,true,minecraft,net.minecraft.item.ItemPiston,Piston
minecraft:wool,35,true,minecraft,net.minecraft.item.ItemCloth,Wool
minecraft:yellow_flower,37,true,minecraft,net.minecraft.item.ItemMultiTexture,Dandelion
minecraft:red_flower,38,true,minecraft,net.minecraft.item.ItemMultiTexture,Poppy
minecraft:brown_mushroom,39,true,minecraft,net.minecraft.item.ItemBlock,Mushroom
minecraft:red_mushroom,40,true,minecraft,net.minecraft.item.ItemBlock,Mushroom
minecraft:gold_block,41,true,minecraft,net.minecraft.item.ItemBlock,Block of Gold
minecraft:iron_block,42,true,minecraft,net.minecraft.item.ItemBlock,Block of Iron
minecraft:double_stone_slab,43,true,minecraft,net.minecraft.item.ItemSlab,Smooth Stone Slab
minecraft:stone_slab,44,true,minecraft,net.minecraft.item.ItemSlab,Smooth Stone Slab
minecraft:brick_block,45,true,minecraft,net.minecraft.item.ItemBlock,Bricks
minecraft:tnt,46,true,minecraft,net.minecraft.item.ItemBlock,TNT
minecraft:bookshelf,47,true,minecraft,net.minecraft.item.ItemBlock,Bookshelf
minecraft:mossy_cobblestone,48,true,minecraft,net.minecraft.item.ItemBlock,Mossy Cobblestone
minecraft:obsidian,49,true,minecraft,net.minecraft.item.ItemBlock,Obsidian
minecraft:torch,50,true,minecraft,net.minecraft.item.ItemBlock,Torch
minecraft:fire,51,true,minecraft,net.minecraft.item.ItemBlock,Fire
minecraft:mob_spawner,52,true,minecraft,codechicken.nei.ItemMobSpawner,Spawner
minecraft:oak_stairs,53,true,minecraft,net.minecraft.item.ItemBlock,Oak Stairs
minecraft:chest,54,true,minecraft,net.minecraft.item.ItemBlock,Chest
minecraft:diamond_ore,56,true,minecraft,net.minecraft.item.ItemBlock,Diamond Ore
minecraft:diamond_block,57,true,minecraft,net.minecraft.item.ItemBlock,Block of Diamond
minecraft:crafting_table,58,true,minecraft,net.minecraft.item.ItemBlock,Crafting Table
minecraft:farmland,60,true,minecraft,net.minecraft.item.ItemBlock,Farmland
minecraft:furnace,61,true,minecraft,net.minecraft.item.ItemBlock,Furnace
minecraft:lit_furnace,62,true,minecraft,net.minecraft.item.ItemBlock,Furnace
minecraft:ladder,65,true,minecraft,net.minecraft.item.ItemBlock,Ladder
minecraft:rail,66,true,minecraft,net.minecraft.item.ItemBlock,Track
minecraft:stone_stairs,67,true,minecraft,net.minecraft.item.ItemBlock,Stone Stairs
minecraft:lever,69,true,minecraft,net.minecraft.item.ItemBlock,Lever
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.item.ItemBlock,Pressure Plate
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.item.ItemBlock,Oak Pressure Plate
minecraft:redstone_ore,73,true,minecraft,net.minecraft.item.ItemBlock,Redstone Ore
minecraft:redstone_torch,76,true,minecraft,net.minecraft.item.ItemBlock,Redstone Torch
minecraft:stone_button,77,true,minecraft,net.minecraft.item.ItemBlock,Button
minecraft:snow_layer,78,true,minecraft,net.minecraft.item.ItemSnow,Snow
minecraft:ice,79,true,minecraft,net.minecraft.item.ItemBlock,Ice
minecraft:snow,80,true,minecraft,net.minecraft.item.ItemBlock,Snow
minecraft:cactus,81,true,minecraft,net.minecraft.item.ItemBlock,Cactus
minecraft:clay,82,true,minecraft,net.minecraft.item.ItemBlock,Clay
minecraft:jukebox,84,true,minecraft,net.minecraft.item.ItemBlock,Jukebox
minecraft:fence,85,true,minecraft,net.minecraft.item.ItemBlock,Oak Fence
minecraft:pumpkin,86,true,minecraft,net.minecraft.item.ItemBlock,Pumpkin
minecraft:netherrack,87,true,minecraft,net.minecraft.item.ItemBlock,Netherrack
minecraft:soul_sand,88,true,minecraft,net.minecraft.item.ItemBlock,Soul Sand
minecraft:glowstone,89,true,minecraft,net.minecraft.item.ItemBlock,Glowstone
minecraft:portal,90,true,minecraft,net.minecraft.item.ItemBlock,Portal
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.item.ItemBlock,Jack o'Lantern
minecraft:stained_glass,95,true,minecraft,net.minecraft.item.ItemCloth,White Stained Glass
minecraft:trapdoor,96,true,minecraft,net.minecraft.item.ItemBlock,Oak Trapdoor
minecraft:monster_egg,97,true,minecraft,net.minecraft.item.ItemMultiTexture,Infested Stone
minecraft:stonebrick,98,true,minecraft,net.minecraft.item.ItemMultiTexture,Stone Bricks
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.item.ItemBlock,Mushroom
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.item.ItemBlock,Mushroom
minecraft:iron_bars,101,true,minecraft,net.minecraft.item.ItemBlock,Iron Bars
minecraft:glass_pane,102,true,minecraft,net.minecraft.item.ItemBlock,Glass Pane
minecraft:melon_block,103,true,minecraft,net.minecraft.item.ItemBlock,Melon
minecraft:vine,106,true,minecraft,net.minecraft.item.ItemColored,Vines
minecraft:fence_gate,107,true,minecraft,net.minecraft.item.ItemBlock,Oak Fence Gate
minecraft:brick_stairs,108,true,minecraft,net.minecraft.item.ItemBlock,Brick Stairs
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.item.ItemBlock,Stone Brick Stairs
minecraft:mycelium,110,true,minecraft,net.minecraft.item.ItemBlock,Mycelium
minecraft:waterlily,111,true,minecraft,net.minecraft.item.ItemLilyPad,Lily Pad
minecraft:nether_brick,112,true,minecraft,net.minecraft.item.ItemBlock,Nether Bricks
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.item.ItemBlock,Nether Brick Fence
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.item.ItemBlock,Nether Brick Stairs
minecraft:enchanting_table,116,true,minecraft,net.minecraft.item.ItemBlock,Enchantment Table
minecraft:end_portal,119,true,minecraft,net.minecraft.item.ItemBlock,End Portal
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.item.ItemBlock,End Portal
minecraft:end_stone,121,true,minecraft,net.minecraft.item.ItemBlock,End Stone
minecraft:dragon_egg,122,true,minecraft,net.minecraft.item.ItemBlock,Dragon Egg
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.item.ItemBlock,Redstone Lamp
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.item.ItemSlab,Oak Slab
minecraft:wooden_slab,126,true,minecraft,net.minecraft.item.ItemSlab,Oak Slab
minecraft:cocoa,127,true,minecraft,net.minecraft.item.ItemBlock,Cocoa
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.item.ItemBlock,Sandstone Stairs
minecraft:emerald_ore,129,true,minecraft,net.minecraft.item.ItemBlock,Emerald Ore
minecraft:ender_chest,130,true,minecraft,net.minecraft.item.ItemBlock,Personal Ender Chest
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.item.ItemBlock,Tripwire Hook
minecraft:emerald_block,133,true,minecraft,net.minecraft.item.ItemBlock,Block of Emerald
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.item.ItemBlock,Spruce Stairs
minecraft:birch_stairs,135,true,minecraft,net.minecraft.item.ItemBlock,Birch Stairs
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.item.ItemBlock,Jungle Stairs
minecraft:command_block,137,true,minecraft,net.minecraft.item.ItemBlock,Command Block
minecraft:beacon,138,true,minecraft,net.minecraft.item.ItemBlock,Beacon
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.item.ItemMultiTexture,Cobblestone Wall
minecraft:carrots,141,true,minecraft,net.minecraft.item.ItemBlock,Carrots
minecraft:potatoes,142,true,minecraft,net.minecraft.item.ItemBlock,Potatoes
minecraft:wooden_button,143,true,minecraft,net.minecraft.item.ItemBlock,Oak Button
minecraft:anvil,145,true,minecraft,net.minecraft.item.ItemAnvilBlock,Anvil
minecraft:trapped_chest,146,true,minecraft,net.minecraft.item.ItemBlock,Trapped Chest
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.item.ItemBlock,Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.item.ItemBlock,Weighted Pressure Plate (Heavy)
minecraft:daylight_detector,151,true,minecraft,net.minecraft.item.ItemBlock,Daylight Detector
minecraft:redstone_block,152,true,minecraft,net.minecraft.item.ItemBlock,Block of Redstone
minecraft:quartz_ore,153,true,minecraft,net.minecraft.item.ItemBlock,Nether Quartz Ore
minecraft:hopper,154,true,minecraft,net.minecraft.item.ItemBlock,Hopper
minecraft:quartz_block,155,true,minecraft,net.minecraft.item.ItemMultiTexture,Block of Quartz
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.item.ItemBlock,Quartz Stairs
minecraft:activator_rail,157,true,minecraft,net.minecraft.item.ItemBlock,Activator Track
minecraft:dropper,158,true,minecraft,net.minecraft.item.ItemBlock,Dropper
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.item.ItemCloth,White Terracotta
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.item.ItemCloth,White Stained Glass Pane
minecraft:leaves2,161,true,minecraft,net.minecraft.item.ItemLeaves,Acacia Leaves
minecraft:log2,162,true,minecraft,net.minecraft.item.ItemMultiTexture,Acacia Log
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.item.ItemBlock,Acacia Stairs
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.item.ItemBlock,Dark Oak Stairs
IC2:blockOreCopper,165,true,IC2,ic2.core.item.block.ItemBlockIC2,Copper Ore
IC2:blockOreTin,166,true,IC2,ic2.core.item.block.ItemBlockIC2,Tin Ore
IC2:blockOreUran,167,true,IC2,ic2.core.item.block.ItemBlockIC2,Uranium Ore
IC2:blockOreLead,168,true,IC2,ic2.core.item.block.ItemBlockIC2,Lead Ore
IC2:blockRubWood,169,true,IC2,ic2.core.item.block.ItemBlockIC2,Rubber Wood
minecraft:hay_block,170,true,minecraft,net.minecraft.item.ItemBlock,Hay Bale
minecraft:carpet,171,true,minecraft,net.minecraft.item.ItemCloth,Carpet
minecraft:hardened_clay,172,true,minecraft,net.minecraft.item.ItemBlock,Terracotta
minecraft:coal_block,173,true,minecraft,net.minecraft.item.ItemBlock,Block of Coal
minecraft:packed_ice,174,true,minecraft,net.minecraft.item.ItemBlock,Packed Ice
minecraft:double_plant,175,true,minecraft,net.minecraft.item.ItemDoublePlant,Sunflower
IC2:blockRubLeaves,176,true,IC2,ic2.core.item.block.ItemRubLeaves,Rubber Tree Leaves
IC2:blockRubSapling,177,true,IC2,ic2.core.item.block.ItemBlockIC2,Rubber Tree Sapling
IC2:blockHarz,178,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockHarz
IC2:blockRubber,179,true,IC2,ic2.core.item.block.ItemBlockIC2,Rubber Sheet
IC2:blockFenceIron,180,true,IC2,ic2.core.item.block.ItemBlockIC2,Iron Fence
IC2:blockAlloy,181,true,IC2,ic2.core.item.block.ItemBlockIC2,Reinforced Stone
IC2:blockBasalt,182,true,IC2,ic2.core.item.block.ItemBlockIC2,Basalt
IC2:blockAlloyGlass,183,true,IC2,ic2.core.item.block.ItemBlockIC2,Reinforced Glass
IC2:blockDoorAlloy,184,true,IC2,net.minecraft.item.ItemBlock,Reinforced Door
IC2:blockReinforcedFoam,185,true,IC2,ic2.core.item.block.ItemBlockIC2,Reinforced Construction Foam
IC2:blockFoam,186,true,IC2,ic2.core.item.block.ItemBlockIC2,Construction Foam
IC2:blockWall,187,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockWall
IC2:blockScaffold,188,true,IC2,ic2.core.item.block.ItemBlockIC2,Scaffold
IC2:blockIronScaffold,189,true,IC2,ic2.core.item.block.ItemBlockIC2,Iron Scaffold
IC2:blockMetal,190,true,IC2,ic2.core.item.block.ItemBlockMetal,Copper Block
IC2:blockCable,191,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockCable
IC2:blockKineticGenerator,192,true,IC2,ic2.core.item.block.ItemKineticGenerator,Kinetic Wind Generator
IC2:blockHeatGenerator,193,true,IC2,ic2.core.item.block.ItemHeatGenerator,Solid Heat Generator
IC2:blockGenerator,194,true,IC2,ic2.core.item.block.ItemGenerator,RTG POWARZ
IC2:blockReactorChamber,195,true,IC2,ic2.core.item.block.ItemBlockIC2,Reactor Chamber
IC2:blockReactorFluidPort,196,true,IC2,ic2.core.item.block.ItemBlockIC2,Reactor Fluid Port
IC2:blockReactorAccessHatch,197,true,IC2,ic2.core.item.block.ItemBlockIC2,Reactor Access Hatch
IC2:blockReactorRedstonePort,198,true,IC2,ic2.core.item.block.ItemBlockIC2,Reactor Redstone Port
IC2:blockreactorvessel,199,true,IC2,ic2.core.item.block.ItemBlockIC2,Reactor Pressure Vessel
IC2:blockElectric,200,true,IC2,ic2.core.item.block.ItemElectricBlock,BatBox
IC2:blockChargepad,201,true,IC2,ic2.core.item.block.ItemChargepadBlock,Charge Pad (BatBox)
IC2:blockMachine,202,true,IC2,ic2.core.item.block.ItemMachine,Basic Machine Casing
IC2:blockMachine2,203,true,IC2,ic2.core.item.block.ItemMachine2,Teleporter
IC2:blockMachine3,204,true,IC2,ic2.core.item.block.ItemMachine3,Steam Generator
IC2:blockLuminatorDark,205,true,IC2,ic2.core.item.block.ItemLuminator,Luminator
IC2:blockLuminator,206,true,IC2,ic2.core.item.block.ItemLuminator,Luminator
IC2:blockMiningPipe,207,true,IC2,ic2.core.item.block.ItemBlockIC2,Mining Pipe
IC2:blockMiningTip,208,true,IC2,ic2.core.item.block.ItemBlockIC2,Mining Pipe
IC2:blockPersonal,209,true,IC2,ic2.core.item.block.ItemPersonalBlock,Personal Safe
IC2:blockITNT,210,true,IC2,ic2.core.item.block.ItemBlockIC2,Industrial TNT
IC2:blockNuke,211,true,IC2,ic2.core.item.block.ItemBlockIC2,Nuke
IC2:blockDynamite,212,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockDynamite
IC2:blockDynamiteRemote,213,true,IC2,ic2.core.item.block.ItemBlockIC2,ic2.blockDynamiteRemote
IC2:blockCrop,214,true,IC2,ic2.core.item.block.ItemBlockIC2,Crop
IC2:blockBarrel,215,true,IC2,ic2.core.item.block.ItemBlockIC2,Barrel
IC2:fluidUuMatter,216,true,IC2,ic2.core.item.block.ItemBlockIC2,UU-Matter
IC2:fluidConstructionFoam,217,true,IC2,ic2.core.item.block.ItemBlockIC2,Construction Foam
IC2:fluidCoolant,218,true,IC2,ic2.core.item.block.ItemBlockIC2,IC2 Coolant
IC2:fluidHotCoolant,219,true,IC2,ic2.core.item.block.ItemBlockIC2,IC2 Hot Coolant
IC2:fluidPahoehoeLava,220,true,IC2,ic2.core.item.block.ItemBlockIC2,Pahoehoe Lava
IC2:fluidBiomass,221,true,IC2,ic2.core.item.block.ItemBlockIC2,Biomass
IC2:fluidBiogas,222,true,IC2,ic2.core.item.block.ItemBlockIC2,Biogas
IC2:fluidDistilledWater,223,true,IC2,ic2.core.item.block.ItemBlockIC2,Distilled Water
IC2:fluidSuperheatedSteam,224,true,IC2,ic2.core.item.block.ItemBlockIC2,Superheated Steam
IC2:fluidSteam,225,true,IC2,ic2.core.item.block.ItemBlockIC2,Steam
IC2:fluidHotWater,226,true,IC2,ic2.core.item.block.ItemBlockIC2,Heated Water
AdvancedSolarPanel:BlockMolecularTransformer,227,true,AdvancedSolarPanel,advsolar.common.items.ItemMolecularTransformer,Molecular Transformer
AdvancedSolarPanel:BlockAdvSolarPanel,228,true,AdvancedSolarPanel,advsolar.common.items.ItemAdvSolarPanel,Advanced Solar Panel
adventurebackpack:blockBackpack,229,true,adventurebackpack,net.minecraft.item.ItemBlock,Adventure Backpacks
adventurebackpack:blockSleepingBag,230,true,adventurebackpack,net.minecraft.item.ItemBlock,Sleeping Bag
adventurebackpack:blockCampFire,231,true,adventurebackpack,net.minecraft.item.ItemBlock,CampFire
appliedenergistics2:tile.OreQuartz,232,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Certus Quartz Ore
appliedenergistics2:tile.OreQuartzCharged,233,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Charged Certus Quartz Ore
appliedenergistics2:tile.BlockMatrixFrame,234,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Matrix Frame
appliedenergistics2:tile.BlockQuartz,235,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Certus Quartz Block
appliedenergistics2:tile.BlockQuartzPillar,236,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Certus Quartz Pillar
appliedenergistics2:tile.BlockQuartzChiseled,237,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Chiseled Certus Quartz Block
appliedenergistics2:tile.BlockQuartzGlass,238,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Quartz Glass
appliedenergistics2:tile.BlockQuartzLamp,239,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Vibrant Quartz Glass
appliedenergistics2:tile.BlockQuartzTorch,240,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Charged Quartz Fixture
appliedenergistics2:tile.BlockFluix,241,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Fluix Block
appliedenergistics2:tile.BlockSkyStone,242,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Sky Stone
appliedenergistics2:tile.BlockSkyChest,243,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Sky Stone Chest
appliedenergistics2:tile.BlockSkyCompass,244,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Meteorite Compass
appliedenergistics2:tile.BlockInscriber,245,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Inscriber
appliedenergistics2:tile.BlockWireless,246,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME Wireless Access Point
appliedenergistics2:tile.BlockCharger,247,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Charger
appliedenergistics2:tile.BlockTinyTNT,248,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Tiny TNT
appliedenergistics2:tile.BlockSecurity,249,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME Security Terminal
appliedenergistics2:tile.BlockQuantumRing,250,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME Quantum Ring
appliedenergistics2:tile.BlockQuantumLinkChamber,251,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME Quantum Link Chamber
appliedenergistics2:tile.BlockSpatialPylon,252,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Spatial Pylon
appliedenergistics2:tile.BlockSpatialIOPort,253,true,appliedenergistics2,appeng.block.AEBaseItemBlock,Spatial IO Port
appliedenergistics2:tile.BlockCableBus,254,true,appliedenergistics2,appeng.block.AEBaseItemBlock,AE2 Cable and/or Bus
appliedenergistics2:tile.BlockController,255,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME Controller
minecraft:iron_shovel,256,false,minecraft,net.minecraft.item.ItemSpade,Iron Shovel
minecraft:iron_pickaxe,257,false,minecraft,net.minecraft.item.ItemPickaxe,Iron Pickaxe
minecraft:iron_axe,258,false,minecraft,net.minecraft.item.ItemAxe,Iron Axe
minecraft:flint_and_steel,259,false,minecraft,net.minecraft.item.ItemFlintAndSteel,Flint and Steel
minecraft:apple,260,false,minecraft,net.minecraft.item.ItemFood,Apple
minecraft:bow,261,false,minecraft,net.minecraft.item.ItemBow,Bow
minecraft:arrow,262,false,minecraft,net.minecraft.item.Item,Arrow
minecraft:coal,263,false,minecraft,net.minecraft.item.ItemCoal,Coal
minecraft:diamond,264,false,minecraft,net.minecraft.item.Item,Diamond
minecraft:iron_ingot,265,false,minecraft,net.minecraft.item.Item,Iron Ingot
minecraft:gold_ingot,266,false,minecraft,net.minecraft.item.Item,Gold Ingot
minecraft:iron_sword,267,false,minecraft,net.minecraft.item.ItemSword,Iron Sword
minecraft:wooden_sword,268,false,minecraft,net.minecraft.item.ItemSword,Wooden Sword
minecraft:wooden_shovel,269,false,minecraft,net.minecraft.item.ItemSpade,Wooden Shovel
minecraft:wooden_pickaxe,270,false,minecraft,net.minecraft.item.ItemPickaxe,Wooden Pickaxe
minecraft:wooden_axe,271,false,minecraft,net.minecraft.item.ItemAxe,Wooden Axe
minecraft:stone_sword,272,false,minecraft,net.minecraft.item.ItemSword,Stone Sword
minecraft:stone_shovel,273,false,minecraft,net.minecraft.item.ItemSpade,Stone Shovel
minecraft:stone_pickaxe,274,false,minecraft,net.minecraft.item.ItemPickaxe,Stone Pickaxe
minecraft:stone_axe,275,false,minecraft,net.minecraft.item.ItemAxe,Stone Axe
minecraft:diamond_sword,276,false,minecraft,net.minecraft.item.ItemSword,Diamond Sword
minecraft:diamond_shovel,277,false,minecraft,net.minecraft.item.ItemSpade,Diamond Shovel
minecraft:diamond_pickaxe,278,false,minecraft,net.minecraft.item.ItemPickaxe,Diamond Pickaxe
minecraft:diamond_axe,279,false,minecraft,net.minecraft.item.ItemAxe,Diamond Axe
minecraft:stick,280,false,minecraft,net.minecraft.item.Item,Stick
minecraft:bowl,281,false,minecraft,net.minecraft.item.Item,Bowl
minecraft:mushroom_stew,282,false,minecraft,net.minecraft.item.ItemSoup,Mushroom Stew
minecraft:golden_sword,283,false,minecraft,net.minecraft.item.ItemSword,Golden Sword
minecraft:golden_shovel,284,false,minecraft,net.minecraft.item.ItemSpade,Golden Shovel
minecraft:golden_pickaxe,285,false,minecraft,net.minecraft.item.ItemPickaxe,Golden Pickaxe
minecraft:golden_axe,286,false,minecraft,net.minecraft.item.ItemAxe,Golden Axe
minecraft:string,287,false,minecraft,net.minecraft.item.ItemReed,String
minecraft:feather,288,false,minecraft,net.minecraft.item.Item,Feather
minecraft:gunpowder,289,false,minecraft,net.minecraft.item.Item,Gunpowder
minecraft:wooden_hoe,290,false,minecraft,net.minecraft.item.ItemHoe,Wooden Hoe
minecraft:stone_hoe,291,false,minecraft,net.minecraft.item.ItemHoe,Stone Hoe
minecraft:iron_hoe,292,false,minecraft,net.minecraft.item.ItemHoe,Iron Hoe
minecraft:diamond_hoe,293,false,minecraft,net.minecraft.item.ItemHoe,Diamond Hoe
minecraft:golden_hoe,294,false,minecraft,net.minecraft.item.ItemHoe,Golden Hoe
minecraft:wheat_seeds,295,false,minecraft,net.minecraft.item.ItemSeeds,Wheat Seeds
minecraft:wheat,296,false,minecraft,net.minecraft.item.Item,Wheat
minecraft:bread,297,false,minecraft,net.minecraft.item.ItemFood,Bread
minecraft:leather_helmet,298,false,minecraft,net.minecraft.item.ItemArmor,Leather Cap
minecraft:leather_chestplate,299,false,minecraft,net.minecraft.item.ItemArmor,Leather Tunic
minecraft:leather_leggings,300,false,minecraft,net.minecraft.item.ItemArmor,Leather Pants
minecraft:leather_boots,301,false,minecraft,net.minecraft.item.ItemArmor,Leather Boots
minecraft:chainmail_helmet,302,false,minecraft,net.minecraft.item.ItemArmor,Chain Helmet
minecraft:chainmail_chestplate,303,false,minecraft,net.minecraft.item.ItemArmor,Chain Chestplate
minecraft:chainmail_leggings,304,false,minecraft,net.minecraft.item.ItemArmor,Chain Leggings
minecraft:chainmail_boots,305,false,minecraft,net.minecraft.item.ItemArmor,Chain Boots
minecraft:iron_helmet,306,false,minecraft,net.minecraft.item.ItemArmor,Iron Helmet
minecraft:iron_chestplate,307,false,minecraft,net.minecraft.item.ItemArmor,Iron Chestplate
minecraft:iron_leggings,308,false,minecraft,net.minecraft.item.ItemArmor,Iron Leggings
minecraft:iron_boots,309,false,minecraft,net.minecraft.item.ItemArmor,Iron Boots
minecraft:diamond_helmet,310,false,minecraft,net.minecraft.item.ItemArmor,Diamond Helmet
minecraft:diamond_chestplate,311,false,minecraft,net.minecraft.item.ItemArmor,Diamond Chestplate
minecraft:diamond_leggings,312,false,minecraft,net.minecraft.item.ItemArmor,Diamond Leggings
minecraft:diamond_boots,313,false,minecraft,net.minecraft.item.ItemArmor,Diamond Boots
minecraft:golden_helmet,314,false,minecraft,net.minecraft.item.ItemArmor,Golden Helmet
minecraft:golden_chestplate,315,false,minecraft,net.minecraft.item.ItemArmor,Golden Chestplate
minecraft:golden_leggings,316,false,minecraft,net.minecraft.item.ItemArmor,Golden Leggings
minecraft:golden_boots,317,false,minecraft,net.minecraft.item.ItemArmor,Golden Boots
minecraft:flint,318,false,minecraft,net.minecraft.item.Item,Flint
minecraft:porkchop,319,false,minecraft,net.minecraft.item.ItemFood,Raw Porkchop
minecraft:cooked_porkchop,320,false,minecraft,net.minecraft.item.ItemFood,Cooked Porkchop
minecraft:painting,321,false,minecraft,net.minecraft.item.ItemHangingEntity,Painting
minecraft:golden_apple,322,false,minecraft,net.minecraft.item.ItemAppleGold,Golden Apple
minecraft:sign,323,false,minecraft,net.minecraft.item.ItemSign,Oak Sign
minecraft:wooden_door,324,false,minecraft,net.malisis.doors.door.item.DoorItem,Oak Door
minecraft:bucket,325,false,minecraft,net.minecraft.item.ItemBucket,Bucket
minecraft:water_bucket,326,false,minecraft,net.minecraft.item.ItemBucket,Water Bucket
minecraft:lava_bucket,327,false,minecraft,net.minecraft.item.ItemBucket,Lava Bucket
minecraft:minecart,328,false,minecraft,net.minecraft.item.ItemMinecart,Minecart
minecraft:saddle,329,false,minecraft,net.minecraft.item.ItemSaddle,Saddle
minecraft:iron_door,330,false,minecraft,net.malisis.doors.door.item.DoorItem,Iron Door
